"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
0,3.50611774246581,0.851,0.31,0,"LINGO1","Astrocyte"
0,2.9452362058545,0.552,0.162,0,"HSPA1A","Astrocyte"
0,-2.08166489827053,0.3,0.675,0,"NRXN1","Astrocyte"
0,-1.50182468068274,0.538,0.858,0,"LSAMP","Astrocyte"
0,1.76134316900625,0.986,0.978,0,"LINC00486","Astrocyte"
1.28016992881417e-305,-1.44802823266405,0.457,0.79,1.38898437276337e-301,"NTM","Astrocyte"
3.49183890252714e-295,-3.12753973232383,0.085,0.443,3.78864520924195e-291,"NKAIN3","Astrocyte"
8.24754757440398e-290,1.83240327186527,0.696,0.374,8.94858911822832e-286,"CRYAB","Astrocyte"
3.99873723154351e-268,-1.8612126735437,0.278,0.649,4.33862989622471e-264,"CTNNA2","Astrocyte"
7.10095260902315e-268,1.89196292840294,0.573,0.222,7.70453358079012e-264,"SPP1","Astrocyte"
6.55996066211387e-259,-1.69189006478171,0.262,0.624,7.11755731839355e-255,"RORA","Astrocyte"
6.04796958937633e-256,-1.86236555893989,0.311,0.649,6.56204700447331e-252,"GPM6A","Astrocyte"
3.84252182954337e-239,1.8796797380797,0.519,0.192,4.16913618505456e-235,"GFAP","Astrocyte"
1.50629058946198e-228,1.98259436046252,0.649,0.396,1.63432528956625e-224,"NEAT1","Astrocyte"
1.16179550941714e-223,-3.26708907685972,0.045,0.325,1.26054812771759e-219,"LSAMP-AS1","Astrocyte"
2.13093302518395e-216,1.90794020683106,0.543,0.236,2.31206233232458e-212,"MT-ND4","Astrocyte"
1.08401788325225e-215,-1.21193865079336,0.417,0.73,1.17615940332869e-211,"CTNND2","Astrocyte"
5.76533050654938e-214,-2.44983865147293,0.193,0.492,6.25538359960607e-210,"GPC5","Astrocyte"
1.04522417599749e-212,-1.03806633435785,0.568,0.823,1.13406823095728e-208,"LRP1B","Astrocyte"
1.4523156697398e-206,2.90099378916972,0.325,0.068,1.57576250166768e-202,"BOK","Astrocyte"
2.57421898138455e-203,2.36722972302639,0.401,0.125,2.79302759480224e-199,"DNAJB2","Astrocyte"
2.25768690196861e-202,-2.50755255539976,0.22,0.514,2.44959028863594e-198,"SLC1A2","Astrocyte"
2.97921667117772e-202,-3.97871690980014,0.017,0.257,3.23245008822782e-198,"SLC6A1-AS1","Astrocyte"
1.80020725551332e-200,-3.05715673602728,0.069,0.338,1.95322487223196e-196,"RNF219-AS1","Astrocyte"
1.64805869331413e-198,-1.8069617050018,0.155,0.464,1.78814368224583e-194,"C1orf61","Astrocyte"
6.58455538589555e-198,-1.67200903694796,0.194,0.509,7.14424259369667e-194,"FAM155A","Astrocyte"
7.81570363081649e-192,1.45873012085804,0.581,0.289,8.48003843943589e-188,"QDPR","Astrocyte"
7.96005149778267e-192,-1.58841357989629,0.226,0.535,8.6366558750942e-188,"NTRK2","Astrocyte"
1.0016538023957e-189,-2.06030481670747,0.19,0.487,1.08679437559934e-185,"APOE","Astrocyte"
1.25794213749016e-188,-0.954180701952285,0.621,0.845,1.36486721917683e-184,"NPAS3","Astrocyte"
3.28370619572817e-183,-1.46516686374355,0.211,0.519,3.56282122236506e-179,"PDE4D","Astrocyte"
6.21610795514241e-183,-1.40628405667164,0.209,0.523,6.74447713132952e-179,"RP11-384F7.2","Astrocyte"
1.28571677487827e-179,-1.16208136752612,0.367,0.662,1.39500270074292e-175,"MIR99AHG","Astrocyte"
2.48524760126361e-176,-1.61242261207678,0.251,0.554,2.69649364737102e-172,"LRRC4C","Astrocyte"
3.95413242539765e-176,-1.65015292869478,0.302,0.606,4.29023368155645e-172,"DPP10","Astrocyte"
5.18561034110803e-172,-1.28213066242484,0.303,0.601,5.62638722010221e-168,"NRG3","Astrocyte"
2.84022534564035e-165,-2.11847781300133,0.15,0.411,3.08164450001978e-161,"ADGRV1","Astrocyte"
4.16670291668407e-161,-1.98579081324571,0.115,0.374,4.52087266460221e-157,"GABRB1","Astrocyte"
1.47330965024877e-158,-2.02281455618903,0.094,0.344,1.59854097051992e-154,"CSGALNACT1","Astrocyte"
2.75513681175363e-157,-0.815820409054709,0.582,0.824,2.98932344075269e-153,"ERBB4","Astrocyte"
1.21034284535229e-152,1.64390776808176,0.495,0.249,1.31322198720724e-148,"MT-CO3","Astrocyte"
1.54240241099144e-152,-1.8805831897548,0.133,0.388,1.67350661592572e-148,"SOX6","Astrocyte"
3.63356335632453e-152,1.8831412398437,0.394,0.154,3.94241624161212e-148,"HSP90AB1","Astrocyte"
6.2397933918078e-151,-1.83026822704608,0.165,0.422,6.77017583011146e-147,"SPARCL1","Astrocyte"
1.03539395200371e-150,-1.94909055276676,0.107,0.353,1.12340243792403e-146,"PREX2","Astrocyte"
1.65995715488231e-148,-1.43060651379714,0.246,0.511,1.80105351304731e-144,"TNIK","Astrocyte"
1.26402158799655e-147,-0.432135645452625,1,1,1.37146342297626e-143,"MALAT1","Astrocyte"
7.22366564778742e-145,-1.58286140293997,0.139,0.393,7.83767722784935e-141,"SGCD","Astrocyte"
1.07881962206799e-143,1.60960072689898,0.499,0.261,1.17051928994377e-139,"MT-CO2","Astrocyte"
1.00582825173861e-142,1.38655717004428,0.518,0.272,1.09132365313639e-138,"HSP90AA1","Astrocyte"
6.62072974406941e-142,-1.38438986189861,0.245,0.51,7.18349177231531e-138,"CST3","Astrocyte"
4.06227629833679e-138,-1.47444567771656,0.199,0.458,4.40756978369542e-134,"PTPRZ1","Astrocyte"
2.80286199134197e-137,-1.88051104806183,0.1,0.329,3.04110526060604e-133,"TENM2","Astrocyte"
1.96124079310855e-135,1.37383064958613,0.584,0.388,2.12794626052278e-131,"ERBB2IP","Astrocyte"
2.39600472683937e-133,-2.31136563479991,0.067,0.275,2.59966512862072e-129,"SLC4A4","Astrocyte"
5.68231549054947e-133,-2.17974485856755,0.069,0.279,6.16531230724618e-129,"C10orf11","Astrocyte"
3.60306193714435e-131,-1.51873869888318,0.15,0.39,3.90932220180162e-127,"PTN","Astrocyte"
1.41364097542253e-130,1.92240454174397,0.354,0.136,1.53380045833344e-126,"MT-ATP6","Astrocyte"
3.40704622533466e-130,1.6248557062529,0.414,0.187,3.6966451544881e-126,"CNTN2","Astrocyte"
5.07392977020742e-128,-0.925664189166488,0.385,0.643,5.50521380067505e-124,"ADGRL3","Astrocyte"
8.03666033385057e-127,2.36516097536819,0.24,0.058,8.71977646222787e-123,"FKBP5","Astrocyte"
3.13739429274709e-126,-1.51274011840423,0.15,0.385,3.40407280763059e-122,"OPHN1","Astrocyte"
