"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.36342480101553,0.825,0.308,0,"AD","LINGO1"
0,1.64863377138325,0.615,0.278,0,"AD","SPP1"
0,2.72825003432817,0.485,0.161,0,"AD","HSPA1A"
0,2.04172454433851,0.68,0.4,0,"AD","NEAT1"
0,1.69690819751542,0.989,0.976,0,"AD","LINC00486"
1.32014340568781e-320,1.57803099664256,0.665,0.41,1.43235559517127e-316,"AD","CRYAB"
1.17109014498177e-269,1.74993520508175,0.504,0.235,1.27063280730522e-265,"AD","MT-ND4"
4.80527493532182e-253,2.60154342495279,0.275,0.057,5.21372330482417e-249,"AD","FKBP5"
2.60810845718783e-248,1.83030559361475,0.397,0.148,2.82979767604879e-244,"AD","GFAP"
1.30332501399794e-247,1.37999506835197,0.612,0.403,1.41410764018777e-243,"AD","ERBB2IP"
9.55517177071817e-245,2.55608112609031,0.298,0.077,1.03673613712292e-240,"AD","BOK"
8.41410955687871e-243,1.23644613732006,0.588,0.332,9.1293088692134e-239,"AD","QDPR"
1.4385675437752e-217,2.0282773641269,0.36,0.138,1.56084578499609e-213,"AD","DNAJB2"
3.04381256257762e-190,1.69709282944312,0.378,0.166,3.30253663039672e-186,"AD","HSP90AB1"
2.57070833819496e-170,1.44752787681799,0.464,0.263,2.78921854694153e-166,"AD","MT-CO2"
2.50023334198329e-167,1.38298945556515,0.448,0.246,2.71275317605187e-163,"AD","MT-CO3"
3.50546241709863e-165,1.21429054292619,0.49,0.287,3.80342672255201e-161,"AD","HSP90AA1"
8.38856312066677e-156,1.35875835561398,0.412,0.214,9.10159098592345e-152,"AD","CNTN2"
1.55085951523906e-154,1.5420661829303,0.333,0.145,1.68268257403438e-150,"AD","CCP110"
2.97193334432949e-153,1.68703059783235,0.323,0.137,3.2245476785975e-149,"AD","MT-ATP6"
4.47362714615842e-150,1.52363174897036,0.343,0.157,4.85388545358188e-146,"AD","NDRG1"
2.37812458673478e-142,1.59187341309359,0.295,0.121,2.58026517660724e-138,"AD","KCNMB4"
2.456318607783e-140,1.53928175466575,0.337,0.156,2.66510568944455e-136,"AD","MT-CYB"
2.98941031904056e-140,1.59484644869786,0.258,0.093,3.24351019615901e-136,"AD","HSPB1"
2.77292425260023e-128,1.26301655144728,0.353,0.175,3.00862281407125e-124,"AD","MYRF"
3.40054085940016e-120,1.42410472465301,0.344,0.177,3.68958683244918e-116,"AD","MT-ND2"
4.50640949884326e-118,1.00773537217424,0.453,0.276,4.88945430624493e-114,"AD","LAMP2"
7.37065863611742e-116,1.12428994378846,0.397,0.227,7.9971646201874e-112,"AD","BIN1"
3.62270684729266e-114,1.45363264853578,0.274,0.122,3.93063692931253e-110,"AD","SLC38A2"
1.36630282335323e-109,1.12731068033744,0.442,0.289,1.48243856333825e-105,"AD","PSAP"
2.21882833532083e-102,0.999342177967057,0.459,0.306,2.4074287438231e-98,"AD","GPRC5B"
1.75361775551227e-99,0.899253406900834,0.463,0.303,1.90267526473081e-95,"AD","ABCA2"
2.09107463245795e-95,1.31400765585871,0.301,0.159,2.26881597621687e-91,"AD","CLK1"
1.37727220851307e-93,0.922594870455416,0.459,0.312,1.49434034623668e-89,"AD","SGK1"
2.14669407859845e-92,0.959082775782794,0.454,0.308,2.32916307527931e-88,"AD","PRUNE2"
3.92318912996324e-91,0.845988547577602,0.489,0.343,4.25666020601011e-87,"AD","SPOCK1"
3.73160374126938e-88,1.04200344675269,0.361,0.215,4.04879005927727e-84,"AD","AMER2"
5.67351218647909e-88,0.676685207986134,0.575,0.429,6.15576072232982e-84,"AD","PIP4K2A"
9.5743216044837e-85,0.387805882381057,0.723,0.523,1.03881389408648e-80,"AD","MBP"
2.57041560469202e-82,0.56096794804066,0.635,0.491,2.78890093109084e-78,"AD","EDIL3"
9.22344707423142e-80,0.701549388547354,0.491,0.338,1.00074400755411e-75,"AD","CLDN11"
9.65290065322375e-80,0.924670602060179,0.412,0.277,1.04733972087478e-75,"AD","TMEM165"
4.51598837370037e-77,0.925968635102259,0.353,0.216,4.8998473854649e-73,"AD","NFASC"
5.72171134731819e-73,1.09475011006565,0.253,0.131,6.20805681184024e-69,"AD","ANLN"
5.20399317496722e-68,0.919649117583031,0.388,0.268,5.64633259483943e-64,"AD","MT3"
1.92852423897784e-62,0.95216979729985,0.435,0.337,2.09244879929096e-58,"AD","NDRG2"
4.88564991134282e-61,0.688384958716021,0.471,0.35,5.30093015380696e-57,"AD","FRYL"
2.79188138384971e-60,0.592912194240978,0.456,0.321,3.02919130147693e-56,"AD","CLDND1"
9.89310735620442e-57,0.90301196374832,0.338,0.228,1.07340214814818e-52,"AD","SEPW1"
2.66762337700058e-56,0.473928528263606,0.695,0.627,2.89437136404563e-52,"AD","GPM6B"
2.70039751616313e-55,0.577467336964618,0.496,0.373,2.92993130503699e-51,"AD","PEX5L"
1.1269663431333e-54,0.91652821853229,0.303,0.195,1.22275848229963e-50,"AD","SORT1"
1.30380508290869e-54,0.789204415326239,0.384,0.275,1.41462851495593e-50,"AD","DIP2B"
2.29147641777559e-53,1.03796606529642,0.252,0.15,2.48625191328652e-49,"AD","MT-ND3"
1.79478759007228e-51,0.844499139898163,0.307,0.2,1.94734453522842e-47,"AD","AATK"
1.39846980819443e-49,0.985579320727688,0.255,0.157,1.51733974189096e-45,"AD","ITPKB"
6.48682193035417e-46,0.908139963974257,0.264,0.17,7.03820179443428e-42,"AD","CSRP1"
1.13468835382763e-45,0.594068175667766,0.431,0.323,1.23113686390298e-41,"AD","APLP1"
2.92636271379783e-45,0.823835745613567,0.323,0.222,3.17510354447064e-41,"AD","CNDP1"
1.31228670295862e-43,0.877479041075665,0.253,0.159,1.4238310727101e-39,"AD","TTYH2"
2.98718225335482e-43,0.695905046628277,0.313,0.212,3.24109274488998e-39,"AD","LINC00844"
5.19891565079752e-42,0.435696364540134,0.518,0.405,5.64082348111531e-38,"AD","RNF220"
4.59748738122639e-39,0.785989968988041,0.291,0.202,4.98827380863064e-35,"AD","RGCC"
3.31467229305627e-38,0.544829560062792,0.498,0.41,3.59641943796605e-34,"AD","TMEM144"
6.78024559694062e-37,0.533637272882197,0.439,0.346,7.35656647268057e-33,"AD","PTMA"
6.16572152897332e-35,0.808572733074583,0.28,0.199,6.68980785893605e-31,"AD","PRNP"
5.22721608571183e-33,0.570048347849066,0.381,0.293,5.67152945299734e-29,"AD","CERCAM"
6.77671194129229e-31,0.409147671152856,0.456,0.366,7.35273245630214e-27,"AD","MAP7"
6.79631016447124e-27,0.591542954960443,0.295,0.218,7.37399652845129e-23,"AD","SEPP1"
4.62242088489695e-26,0.583696452281868,0.258,0.184,5.01532666011319e-22,"AD","ABCA8"
6.36011371040209e-26,0.618535670408249,0.274,0.202,6.90072337578626e-22,"AD","DOCK9"
4.03472293007426e-25,0.650530713311675,0.29,0.22,4.37767437913057e-21,"AD","PHLDB1"
1.11246180713772e-24,0.544931631334694,0.261,0.189,1.20702106074443e-20,"AD","FAM107B"
